Title,Authors,Year,Publisher,Citations,Link,References
Large language models generate functional protein sequences across diverse families,"A Madani, B Krause, ER Greene, S Subramanian… ",2023,nature,757,https://www.nature.com/articles/s41587-022-01618-2,"https://scholar.google.com/scholar?q=related:nMt5B9ZPRRYJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Toolllm: Facilitating large language models to master 16000+ real-world apis,"Y Qin, S Liang, Y Ye, K Zhu, L Yan, Y Lu, Y Lin… ",2023,arxiv,571,https://arxiv.org/abs/2307.16789,"https://scholar.google.com/scholar?q=related:JnPfVzBTA_sJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Structured information extraction from scientific text with large language models,"J Dagdelen, A Dunn, S Lee, N Walker… ",2024,nature,204,https://www.nature.com/articles/s41467-024-45563-x,"https://scholar.google.com/scholar?q=related:4a6PKcLjCr4J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Teaching large language models to self-debug,"X Chen, M Lin, N Schärli, D Zhou ",2023,arxiv,581,https://arxiv.org/abs/2304.05128,"https://scholar.google.com/scholar?q=related:SR4nfF1bwVAJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Halueval: A large-scale hallucination evaluation benchmark for large language models,"J Li, X Cheng, WX Zhao, JY Nie, JR Wen ",2023,arxiv,400,https://arxiv.org/abs/2305.11747,"https://scholar.google.com/scholar?q=related:sTgoDp7Us6EJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Enabling large language models to generate text with citations,"T Gao, H Yen, J Yu, D Chen ",2023,arxiv,267,https://arxiv.org/abs/2305.14627,"https://scholar.google.com/scholar?q=related:i3YGz4hizMYJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Give us the facts: Enhancing large language models with knowledge graphs for fact-aware language modeling,"L Yang, H Chen, Z Li, X Ding… ",2024,ieeexplore,183,https://ieeexplore.ieee.org/abstract/document/10417790/,"https://scholar.google.com/scholar?q=related:NAOBxQ_W_dEJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Visionllm v2: An end-to-end generalist multimodal large language model for hundreds of vision-language tasks,"J Wu, M Zhong, S Xing, Z Lai, Z Liu… ",2024,proceedings,39,https://proceedings.neurips.cc/paper_files/paper/2024/hash/81a60d18e010b27b36cd465c6604b915-Abstract-Conference.html,"https://scholar.google.com/scholar?q=related:BXQ86p8JngkJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Automatic chain of thought prompting in large language models,"Z Zhang, A Zhang, M Li, A Smola ",2022,chatgpthero,922,https://www.chatgpthero.io/wp-content/uploads/2023/12/2210.03493.pdf,"https://scholar.google.com/scholar?q=related:b6CUAfDotpUJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Mathprompter: Mathematical reasoning using large language models,"S Imani, L Du, H Shrivastava ",2023,arxiv,313,https://arxiv.org/abs/2303.05398,"https://scholar.google.com/scholar?q=related:hQm0wRiKlc8J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Large language models for software engineering: A systematic literature review,"X Hou, Y Zhao, Y Liu, Z Yang, K Wang, L Li… ",2024,dl,577,https://dl.acm.org/doi/abs/10.1145/3695988,"https://scholar.google.com/scholar?q=related:gp2dTSmtt5cJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Smoothllm: Defending large language models against jailbreaking attacks,"A Robey, E Wong, H Hassani, GJ Pappas ",2023,arxiv,263,https://arxiv.org/abs/2310.03684,"https://scholar.google.com/scholar?q=related:gOFxIScZ7v0J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Gender bias and stereotypes in large language models,"H Kotek, R Dockum, D Sun ",2023,dl,369,https://dl.acm.org/doi/abs/10.1145/3582269.3615599,"https://scholar.google.com/scholar?q=related:WEfQSAEi854J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Text classification via large language models,"X Sun, X Li, J Li, F Wu, S Guo, T Zhang… ",2023,arxiv,234,https://arxiv.org/abs/2305.08377,"https://scholar.google.com/scholar?q=related:zrV0IIK6cLIJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Unifying large language models and knowledge graphs: A roadmap,"S Pan, L Luo, Y Wang, C Chen… ",2024,ieeexplore,900,https://ieeexplore.ieee.org/abstract/document/10387715/,"https://scholar.google.com/scholar?q=related:RHxJbOlbLbAJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Chat-univi: Unified visual representation empowers large language models with image and video understanding,"P Jin, R Takanobu, W Zhang… ",2024,openaccess,199,http://openaccess.thecvf.com/content/CVPR2024/html/Jin_Chat-UniVi_Unified_Visual_Representation_Empowers_Large_Language_Models_with_Image_CVPR_2024_paper.html,"https://scholar.google.com/scholar?q=related:GmDpP63QeWMJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Llm-pruner: On the structural pruning of large language models,"X Ma, G Fang, X Wang ",2023,proceedings,564,https://proceedings.neurips.cc/paper_files/paper/2023/hash/44956951349095f74492a5471128a7e0-Abstract-Conference.html,"https://scholar.google.com/scholar?q=related:est-FodEugUJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
"Editing large language models: Problems, methods, and opportunities","Y Yao, P Wang, B Tian, S Cheng, Z Li, S Deng… ",2023,arxiv,273,https://arxiv.org/abs/2305.13172,"https://scholar.google.com/scholar?q=related:OI5UXt1CitUJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Least-to-most prompting enables complex reasoning in large language models,"D Zhou, N Schärli, L Hou, J Wei, N Scales… ",2022,arxiv,1323,https://arxiv.org/abs/2205.10625,"https://scholar.google.com/scholar?q=related:elobEAoS7YsJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Large language models still can't plan (a benchmark for LLMs on planning and reasoning about change),"K Valmeekam, A Olmo, S Sreedharan… ",2022,openreview,354,https://openreview.net/forum?id=wUU-7XTL5XO,"https://scholar.google.com/scholar?q=related:V5LrGlnd8kkJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Large language models in education: A focus on the complementary relationship between human teachers and ChatGPT,"J Jeon, S Lee ",2023,Springer,454,https://link.springer.com/article/10.1007/s10639-023-11834-1,"https://scholar.google.com/scholar?q=related:lUASsu_FxhQJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Generate rather than retrieve: Large language models are strong context generators,"W Yu, D Iter, S Wang, Y Xu, M Ju, S Sanyal… ",2022,arxiv,293,https://arxiv.org/abs/2209.10063,"https://scholar.google.com/scholar?q=related:wwOaIJQP0IEJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Spectral editing of activations for large language model alignment,"Y Qiu, Z Zhao, Y Ziser, A Korhonen… ",2024,proceedings,10,https://proceedings.neurips.cc/paper_files/paper/2024/hash/684c59d614fe6ae74a3be8c3ef07e061-Abstract-Conference.html,"https://scholar.google.com/scholar?q=related:_DEEj0w3Rz8J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Chatglm: A family of large language models from glm-130b to glm-4 all tools,"T GLM, A Zeng, B Xu, B Wang, C Zhang, D Yin… ",2024,arxiv,353,https://arxiv.org/abs/2406.12793,"https://scholar.google.com/scholar?q=related:_2IcGPPo4DkJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Salmonn: Towards generic hearing abilities for large language models,"C Tang, W Yu, G Sun, X Chen, T Tan, W Li, L Lu… ",2023,arxiv,264,https://arxiv.org/abs/2310.13289,"https://scholar.google.com/scholar?q=related:HXpkLEIdipMJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Palm-e: An embodied multimodal language model,"D Driess, F Xia, MSM Sajjadi, C Lynch, A Chowdhery… ",2023,openreview,1756,https://openreview.net/forum?id=VTpHpqM3Cf&utm_campaign=The%20Batch&utm_source=hs_email&utm_medium=email&utm_content=284568789&_hsenc=p2ANqtz-9lsSL4nXMrOGBQqGoqktY5Yno_r9-nTOARZinDcgihFNqcOFEQb_MVtHKdpgI2AC3N8SrNW5PxcD0uxl4WeKcPJgUOgw,"https://scholar.google.com/scholar?q=related:WKX9C1jzk_gJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Position: What can large language models tell us about time series analysis,"M Jin, Y Zhang, W Chen, K Zhang, Y Liang… ",2024,openreview,32,https://openreview.net/forum?id=iroZNDxFJZ,"https://scholar.google.com/scholar?q=related:-cPbXiYa68EJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
A neural probabilistic language model,"Y Bengio, R Ducharme, P Vincent, C Jauvin ",2003,jmlr,12111,https://www.jmlr.org/papers/v3/bengio03a.html?source=post_page---------------------------&ref=https://githubhelp.com,"https://scholar.google.com/scholar?q=related:2MIMJitPj6UJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Yarn: Efficient context window extension of large language models,"B Peng, J Quesnelle, H Fan, E Shippole ",2023,arxiv,319,https://arxiv.org/abs/2309.00071,"https://scholar.google.com/scholar?q=related:cvWU2lRY8zcJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Think-on-graph: Deep and responsible reasoning of large language model on knowledge graph,"J Sun, C Xu, L Tang, S Wang, C Lin, Y Gong… ",2023,arxiv,235,https://arxiv.org/abs/2307.07697,"https://scholar.google.com/scholar?q=related:_7YeOlHDe_EJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Videopoet: A large language model for zero-shot video generation,"D Kondratyuk, L Yu, X Gu, J Lezama, J Huang… ",2023,arxiv,210,https://arxiv.org/abs/2312.14125,"https://scholar.google.com/scholar?q=related:zHmugVaQbU0J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
"AI as Agency Without Intelligence: on ChatGPT, Large Language Models, and Other Generative Models",L Floridi ,2023,Springer,369,https://link.springer.com/article/10.1007/s13347-023-00621-y,"https://scholar.google.com/scholar?q=related:kdemOFrFlXkJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Unleashing the potential of prompt engineering in large language models: a comprehensive review,"B Chen, Z Zhang, N Langrené, S Zhu ",2023,arxiv,274,https://arxiv.org/abs/2310.14735,"https://scholar.google.com/scholar?q=related:hdPHnUO15h0J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Auditing large language models: a three-layered approach,"J Mökander, J Schuett, HR Kirk, L Floridi ",2024,Springer,214,https://link.springer.com/article/10.1007/s43681-023-00289-2,"https://scholar.google.com/scholar?q=related:_MOVazpGGrIJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
MiniLLM: Knowledge distillation of large language models,"Y Gu, L Dong, F Wei, M Huang ",2023,arxiv,331,https://arxiv.org/abs/2306.08543,"https://scholar.google.com/scholar?q=related:FMvUInKZnEkJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
The imperative for regulatory oversight of large language models (or generative AI) in healthcare,"B Meskó, EJ Topol ",2023,nature,560,https://www.nature.com/articles/s41746-023-00873-0,"https://scholar.google.com/scholar?q=related:VJd0G7r0b5wJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Chatdoctor: A medical chat model fine-tuned on a large language model meta-ai (llama) using medical domain knowledge,"Y Li, Z Li, K Zhang, R Dan, S Jiang, Y Zhang ",2023,cureus,579,https://www.cureus.com/articles/152858-chatdoctor-a-medical-chat-model-fine-tuned-on-a-large-language-model-meta-ai-llama-using-medical-domain-knowledge.pdf,"https://scholar.google.com/scholar?q=related:otG7LCR7urYJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Finben: A holistic financial benchmark for large language models,"Q Xie, W Han, Z Chen, R Xiang… ",2024,proceedings,63,https://proceedings.neurips.cc/paper_files/paper/2024/hash/adb1d9fa8be4576d28703b396b82ba1b-Abstract-Datasets_and_Benchmarks_Track.html,"https://scholar.google.com/scholar?q=related:HbdffWQX_nMJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Is your code generated by chatgpt really correct? rigorous evaluation of large language models for code generation,"J Liu, CS Xia, Y Wang, L Zhang ",2023,proceedings,842,https://proceedings.neurips.cc/paper_files/paper/2023/hash/43e9d647ccd3e4b7b5baab53f0368686-Abstract-Conference.html,"https://scholar.google.com/scholar?q=related:-2Li6SHLzCcJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Toward expert-level medical question answering with large language models,"K Singhal, T Tu, J Gottweis, R Sayres, E Wulczyn… ",2025,nature,780,https://www.nature.com/articles/s41591-024-03423-7,"https://scholar.google.com/scholar?q=related:bssnlDjGOjoJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Is ChatGPT good at search? investigating large language models as re-ranking agents,"W Sun, L Yan, X Ma, S Wang, P Ren, Z Chen… ",2023,arxiv,414,https://arxiv.org/abs/2304.09542,"https://scholar.google.com/scholar?q=related:j0JNLOynM6AJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Benchmarking large language models for news summarization,"T Zhang, F Ladhak, E Durmus, P Liang… ",2024,direct,510,https://direct.mit.edu/tacl/article/doi/10.1162/tacl_a_00632/119276,"https://scholar.google.com/scholar?q=related:vqAFFGE3OMoJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Lora: Low-rank adaptation of large language models.,"EJ Hu, Y Shen, P Wallis, Z Allen",2022,arxiv,11902,https://arxiv.org/pdf/2106.09685v1/1000,"https://scholar.google.com/scholar?q=related:Pevt4t70HoYJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Llm+ p: Empowering large language models with optimal planning proficiency,"B Liu, Y Jiang, X Zhang, Q Liu, S Zhang… ",2023,arxiv,413,https://arxiv.org/abs/2304.11477,"https://scholar.google.com/scholar?q=related:Zk0VSwUQGlEJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Using large language models to simulate multiple humans and replicate human subject studies,"GV Aher, RI Arriaga, AT Kalai ",2023,proceedings,403,https://proceedings.mlr.press/v202/aher23a.html,"https://scholar.google.com/scholar?q=related:uR85mv-WEVoJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
"The emergent role of artificial intelligence, natural learning processing, and large language models in higher education and research","T Alqahtani, HA Badreldin, M Alrashed… ",2023,Elsevier,325,https://www.sciencedirect.com/science/article/pii/S1551741123002802,"https://scholar.google.com/scholar?q=related:6oSLeDnu-5kJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Trustworthy llms: a survey and guideline for evaluating large language models' alignment,"Y Liu, Y Yao, JF Ton, X Zhang, R Guo, H Cheng… ",2023,arxiv,311,https://arxiv.org/abs/2308.05374,"https://scholar.google.com/scholar?q=related:50BCz9vNxooJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
A systematic survey of prompt engineering in large language models: Techniques and applications,"P Sahoo, AK Singh, S Saha, V Jain… ",2024,rotmandigital,421,https://rotmandigital.ca/wp-content/uploads/2024/09/A-Systematic-Survey-of-Prompt-Engineering-in-Large-Language-Models.pdf,"https://scholar.google.com/scholar?q=related:zU2nkyqEWbcJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Practical and ethical challenges of large language models in education: A systematic scoping review,"L Yan, L Sha, L Zhao, Y Li… ",2024,Wiley Online Library,420,https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1111/bjet.13370,"https://scholar.google.com/scholar?q=related:kZIIVL-gjRYJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Streaming long video understanding with large language models,"R Qian, X Dong, P Zhang, Y Zang… ",2024,proceedings,28,https://proceedings.neurips.cc/paper_files/paper/2024/hash/d7ce06e9293c3d8e6cb3f80b4157f875-Abstract-Conference.html,"https://scholar.google.com/scholar?q=related:HPLBh7ZGWP4J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Large language models are not robust multiple choice selectors,"C Zheng, H Zhou, F Meng, J Zhou, M Huang ",2023,arxiv,182,https://arxiv.org/abs/2309.03882,"https://scholar.google.com/scholar?q=related:stn0DazzHRQJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Rephrase and respond: Let large language models ask better questions for themselves,"Y Deng, W Zhang, Z Chen, Q Gu ",2023,arxiv,68,https://arxiv.org/abs/2311.04205,"https://scholar.google.com/scholar?q=related:VEox5jTgNcsJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
mplug-owl: Modularization empowers large language models with multimodality,"Q Ye, H Xu, G Xu, J Ye, M Yan, Y Zhou, J Wang… ",2023,arxiv,877,https://arxiv.org/abs/2304.14178,"https://scholar.google.com/scholar?q=related:cRQhkJzTS2sJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Ai chains: Transparent and controllable human-ai interaction by chaining large language model prompts,"T Wu, M Terry, CJ Cai ",2022,dl,520,https://dl.acm.org/doi/abs/10.1145/3491102.3517582,"https://scholar.google.com/scholar?q=related:IZ5T76aZRbEJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Llmrec: Large language models with graph augmentation for recommendation,"W Wei, X Ren, J Tang, Q Wang, L Su, S Cheng… ",2024,dl,189,https://dl.acm.org/doi/abs/10.1145/3616855.3635853,"https://scholar.google.com/scholar?q=related:X-rA_fEK-40J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
"Software testing with large language models: Survey, landscape, and vision","J Wang, Y Huang, C Chen, Z Liu… ",2024,ieeexplore,314,https://ieeexplore.ieee.org/abstract/document/10440574/,"https://scholar.google.com/scholar?q=related:YbFEvMUKjlAJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Critic: Large language models can self-correct with tool-interactive critiquing,"Z Gou, Z Shao, Y Gong, Y Shen, Y Yang… ",2023,arxiv,307,https://arxiv.org/abs/2305.11738,"https://scholar.google.com/scholar?q=related:kc7RkSO2wgsJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Prompt programming for large language models: Beyond the few-shot paradigm,"L Reynolds, K McDonell ",2021,dl,978,https://dl.acm.org/doi/abs/10.1145/3411763.3451760,"https://scholar.google.com/scholar?q=related:oP0oHooNi8kJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Autosurvey: Large language models can automatically write surveys,"Y Wang, Q Guo, W Yao, H Zhang… ",2024,proceedings,19,https://proceedings.neurips.cc/paper_files/paper/2024/hash/d07a9fc7da2e2ec0574c38d5f504d105-Abstract-Conference.html,"https://scholar.google.com/scholar?q=related:sbNDz0FH2u8J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Promptmaker: Prompt-based prototyping with large language models,"E Jiang, K Olson, E Toh, A Molina… ",2022,dl,176,https://dl.acm.org/doi/abs/10.1145/3491101.3503564,"https://scholar.google.com/scholar?q=related:fk9bcegsY2YJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Wizardmath: Empowering mathematical reasoning for large language models via reinforced evol-instruct,"H Luo, Q Sun, C Xu, P Zhao, J Lou, C Tao… ",2023,arxiv,377,https://arxiv.org/abs/2308.09583,"https://scholar.google.com/scholar?q=related:NtWDUL_1nokJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Taskbench: Benchmarking large language models for task automation,"Y Shen, K Song, X Tan, W Zhang… ",2024,proceedings,42,https://proceedings.neurips.cc/paper_files/paper/2024/hash/085185ea97db31ae6dcac7497616fd3e-Abstract-Datasets_and_Benchmarks_Track.html,"https://scholar.google.com/scholar?q=related:sKr0y2V-YFsJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Siren's song in the ai ocean: A survey on hallucination in large language models,"Y Zhang, Y Li, L Cui, D Cai, L Liu, T Fu… ",2023,scispace,1036,https://scispace.com/pdf/siren-s-song-in-the-ai-ocean-a-survey-on-hallucination-in-2t9sebemsy.pdf,"https://scholar.google.com/scholar?q=related:LzWjF5PyaBYJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Query2doc: Query expansion with large language models,"L Wang, N Yang, F Wei ",2023,arxiv,224,https://arxiv.org/abs/2303.07678,"https://scholar.google.com/scholar?q=related:zOTyylDU5vsJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Rethinking machine unlearning for large language models,"S Liu, Y Yao, J Jia, S Casper, N Baracaldo… ",2025,nature,123,https://www.nature.com/articles/s42256-025-00985-0,"https://scholar.google.com/scholar?q=related:rapsu_gavTsJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
"A survey on hallucination in large language models: Principles, taxonomy, challenges, and open questions","L Huang, W Yu, W Ma, W Zhong, Z Feng… ",2025,dl,1053,https://dl.acm.org/doi/abs/10.1145/3703155,"https://scholar.google.com/scholar?q=related:YPkqrLRd3u4J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Leveraging generative AI and large language models: a comprehensive roadmap for healthcare integration,"P Yu, H Xu, X Hu, C Deng ",2023,mdpi,177,https://www.mdpi.com/2227-9032/11/20/2776,"https://scholar.google.com/scholar?q=related:-IWzwWTRARIJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
"A review on large language models: Architectures, applications, taxonomies, open issues and challenges","MAK Raiaan, MSH Mukta, K Fatema, NM Fahad… ",2024,ieeexplore,332,https://ieeexplore.ieee.org/abstract/document/10433480/,"https://scholar.google.com/scholar?q=related:XRSXPRPOXf8J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Attention is not all you need: the complicated case of ethically using large language models in healthcare and medicine,S Harrer ,2023,thelancet,316,https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(23)00077-4/fulltext?ref=dedataverbinders.nl,"https://scholar.google.com/scholar?q=related:d34ztUcm59oJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Large language models and the perils of their hallucinations,"R Azamfirei, SR Kudchadkar, J Fackler ",2023,Springer,260,https://link.springer.com/article/10.1186/s13054-023-04393-x,"https://scholar.google.com/scholar?q=related:egStoFrUTLcJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Language is not all you need: Aligning perception with language models,"S Huang, L Dong, W Wang, Y Hao… ",2023,proceedings,499,https://proceedings.neurips.cc/paper_files/paper/2023/hash/e425b75bac5742a008d643826428787c-Abstract-Conference.html,"https://scholar.google.com/scholar?q=related:hsx1Jwu3I_gJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Chain-of-verification reduces hallucination in large language models,"S Dhuliawala, M Komeili, J Xu, R Raileanu, X Li… ",2023,arxiv,349,https://arxiv.org/abs/2309.11495,"https://scholar.google.com/scholar?q=related:HQFA5U9bWUgJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Can large language models transform computational social science?,"C Ziems, W Held, O Shaikh, J Chen, Z Zhang… ",2024,direct,534,https://direct.mit.edu/coli/article-pdf/doi/10.1162/coli_a_00502/2332904/coli_a_00502.pdf,"https://scholar.google.com/scholar?q=related:14ghsumGoAsJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Glbench: A comprehensive benchmark for graph with large language models,"Y Li, P Wang, X Zhu, A Chen, H Jiang… ",2024,proceedings,14,https://proceedings.neurips.cc/paper_files/paper/2024/hash/4ab0bd666d034fcaa5566fc7d176daa6-Abstract-Datasets_and_Benchmarks_Track.html,"https://scholar.google.com/scholar?q=related:rmtK7Z9HPEsJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Languagempc: Large language models as decision makers for autonomous driving,"H Sha, Y Mu, Y Jiang, L Chen, C Xu, P Luo… ",2023,arxiv,207,https://arxiv.org/abs/2310.03026,"https://scholar.google.com/scholar?q=related:i49Ok0ff3iMJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Revisiting relation extraction in the era of large language models,"S Wadhwa, S Amir, BC Wallace ",2023,pmc,223,https://pmc.ncbi.nlm.nih.gov/articles/PMC10482322/,"https://scholar.google.com/scholar?q=related:wPdS_8mW48kJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Palm: Scaling language modeling with pathways,"A Chowdhery, S Narang, J Devlin, M Bosma… ",2023,jmlr,5844,http://www.jmlr.org/papers/v24/22-1144.html,"https://scholar.google.com/scholar?q=related:-szu7oWGGNsJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Large language models for compiler optimization,"C Cummins, V Seeker, D Grubisic, M Elhoushi… ",2023,arxiv,51,https://arxiv.org/abs/2309.07062,"https://scholar.google.com/scholar?q=related:Fmuy84vYfVgJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Retentive network: A successor to transformer for large language models,"Y Sun, L Dong, S Huang, S Ma, Y Xia, J Xue… ",2023,arxiv,350,https://arxiv.org/abs/2307.08621,"https://scholar.google.com/scholar?q=related:t1LbPfcvOskJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Recent advances in natural language processing via large pre-trained language models: A survey,"B Min, H Ross, E Sulem, APB Veyseh… ",2023,dl,1198,https://dl.acm.org/doi/abs/10.1145/3605943,"https://scholar.google.com/scholar?q=related:M_rhiTEsSw0J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Mllmguard: A multi-dimensional safety evaluation suite for multimodal large language models,"T Gu, Z Zhou, K Huang, L Dandan… ",2024,proceedings,12,https://proceedings.neurips.cc/paper_files/paper/2024/hash/0d9dcd4ebef57f1839d871fe7d891e91-Abstract-Datasets_and_Benchmarks_Track.html,"https://scholar.google.com/scholar?q=related:TzDOi_jlESEJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Criticeval: Evaluating large-scale language model as critic,"T Lan, W Zhang, C Xu, H Huang… ",2024,proceedings,4,https://proceedings.neurips.cc/paper_files/paper/2024/hash/7b7d7985f62284060d65f532ed2ea5fa-Abstract-Conference.html,"https://scholar.google.com/scholar?q=related:ng_BQd2zWlEJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Understanding large-language model (llm)-powered human-robot interaction,"CY Kim, CP Lee, B Mutlu ",2024,dl,80,https://dl.acm.org/doi/abs/10.1145/3610977.3634966,"https://scholar.google.com/scholar?q=related:XsqiN8y-q90J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
ChatGPT and the rise of large language models: the new AI-driven infodemic threat in public health,"L De Angelis, F Baglivo, G Arzilli, GP Privitera… ",2023,frontiersin,552,https://www.frontiersin.org/articles/10.3389/fpubh.2023.1166120/full,"https://scholar.google.com/scholar?q=related:MoaBryKIhK4J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
